,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
count,10668,10668.0,10668.0,10668,10668.0,10668,10668.0,10668.0,10668.0
unique,26,,,3,,3,,,
top, A3,,,Manual,,Diesel,,,
freq,1929,,,4369,,5577,,,
mean,,2017.1006749156356,22896.685039370077,,24827.244000749906,,126.01143607049119,50.77002249718785,1.9307086614173228
std,,2.1674937095701776,11714.841888431965,,23505.25720541398,,67.17029383543188,12.949781541040858,0.6029566726455654
min,,1997.0,1490.0,,1.0,,0.0,18.9,0.0
25%,,2016.0,15130.75,,5968.75,,125.0,40.9,1.5
50%,,2017.0,20200.0,,19000.0,,145.0,49.6,2.0
75%,,2019.0,27990.0,,36464.5,,145.0,58.9,2.0
max,,2020.0,145000.0,,323000.0,,580.0,188.3,6.3
